,comments
905,"I love how he speaks fondly of the fact of how many people they evacuated, while at the same making a point of how much we helped the Afhan military and government. If that were true, then there wound not need to be an evacuation in the first place...a strong government would have the means to protect its people."
906,"Wake up , sir, the time is past two minutes"
907,"Wow. 12,000 likes and less than 5000 dislikes of this joke of a man's speech.... Hard not to be ashamed for the travesty of shortcomings....I did not voifor this joke, and still as a US citizen, I'm ashamed. Wtf is Harris? Telling us to buy Christmas gifts early ( warning for another fake lockdown) God help us.."
908,They stayed cause the president can't do his job
909,His pull out game is weak
910,"He is literally the master of passing blame. Like damn man, just say you blew it and how you are gonna fix it."
911,JOE SHUT UP YOU DONE NOTHING AT ALL BESIDES ONLY WHAT YOU REMEMBER
912,Biden🤡💩❗❗🤗🤗🤗
913,Come on You tube !
914,Jesus is Lord
915,"This guy slept through his Vice Presidency, and now I’m sleeping through his Presidency."
916,BW troop immediately goes to rescue in Skripal Novitchok VX house etc. in dry suit with bottle air then ozone generator fully turned on or outdoors because ozone heavier O2 only stays below after VX war with Russians then in tent with ozone & .UVC and suit hosing down with each  after what there like new My and Mu and Lambda turbo viruses?
917,"I though America only had a clown as president once.



Turns out they chose the clown again as president. 
Wow 🤣🤣🤣🤣🤣"
918,Old man take a look at your self I'm  alot like you
919,Electoral votes need to be re-visited. This is not your America joe
920,Can we just get a round of applause for how much planing and coordination the withdrawal had… oh wait it didn’t
921,What a liar
922,The consummate liar.
923,"I hope the truth will reach ALL Americans.  Unfortunately, some democrats will stand behind him.  He has blood on his hands.  He disgusts me."
924,Liar liar pants on fire
925,"""I don't fear an army of lions being led by a sheep..I fear an army of sheep led by a lion""
Alexander The Great"
926,Is this real? I white girl just can't. My garbage man had a better plan than this man.
927,"Good news for Israel: United States Secretary of State Antony Blinken is a Jew, and so is Wendy Sherman who is United States Deputy Secretary of State.

  David Cohen, CIA Deputy Director 
  Merrick Garland, Attorney General 
  Avril Haines, Director of National Intelligence 
  Ronald Klain, Chief of Staff 
  Eric Lander, Office of Science and Technology Policy director 
  Rachel Levine, deputy health secretary 
  Alejandro Mayorkas, Secretary of Homeland Security 
  Anne Neuberger, National Security Agency cybersecurity director 
  Janet Yellen, Treasury secretary 

Bruce Reed: White House Deputy Chief of Staff

Robert Bauer: Co-Chair of the Presidential Commission on the Supreme Court of the United States

Monica Medina: Asst. Sec. of State for the Bureau of Oceans & Int. Environmental & Science Affairs

David Cervantes: Policy Advisor at U.S. Department of the Treasury

Teddy Nemeroff: Director for International Cyber Policy NSA

Chanan Weissman: Director for Technology and Democracy NSA

Gene Sperling: Senior Advisor to the President

Anita Dunn: Senior Advisor to the President

Nora Volkow: Director of the National Institute on Drug Abuse

Alina Romanowski: United States Ambassador to Kuwait

Jonathan Cohen: United States Ambassador to Egypt

Alaina B. Teplitz: United States Ambassador to Sri Lanka and the Maldives

Peter H. Vrooman: United States Ambassador to Rwanda

Xavier Becerra: United States Secretary of Health and Human Services

Max Rose: Special Assistant to the United States Secretary of Defense for COVID-19

Andy Slavitt: Senior Advisor to the COVID-19 Response Coordinator

Elizabeth Sherwood-Randall: US Homeland Security Advisor

Ron Klain: White House Chief of Staff

Eric Lander: Director of the Office of Science and Technology Policy Science Advisor to the President

Rachel Levine: Assistant Secretary for Health

Rochelle Walensky: Director of the Centers for Disease Control and Prevention

Jeffrey Zients: Counselor to the President

Steve Ricchetti: The other Counselor to the President

Anne Neuberger: United States Deputy National Security Advisor for Cyber and Emerging Technology

Alejandro Mayorkas: United States Secretary of Homeland Security

Doug Emhoff: Second Gentleman of the United States

Jared Bernstein: Member of the Council of Economic Advisers

David S. Cohen: Director of CIA until March 19, then transitioning to Deputy Director of CIA

Janet Yellen: United States Secretary of the Treasury

Merrick Garland: US Attorney General

Avril Haines: Director of National Intelligence

Isabel Guzman: Administrator of the Small Business Administration

Polly Trottenberg: US Deputy Secretary of Transportation

David A. Kessler: Head of Op. Warp Speed (Jan-Feb) & co-chaired the Biden-Harris transition’s COVID-19 Advisory Board (Nov 2020-Jan)

Jennifer Klein: Co-Chair White House Gender Policy Council

Jessica Rosenworcel: Chairwoman of the Federal Communications Commission

Stephanie Pollack: Deputy Administrator of the Federal Highway Administration

Mira Resnick: State Department Deputy Assistant Secretary for Regional Security

John Kerry: United States Special Presidential Envoy for Climate

Victoria Nuland: Under Secretary of State for Political Affairs

Gary Gensler: Chair of the Securities and Exchange Commission

Mark Greenblatt: Inspector General of the Department of the Interior

Elizabeth Klein: Deputy Secretary of the Interior"
928,Voted for him in '20 but as a veteran I can not support this man in '24.
929,Clown ful of lies.Talking lies like hypnosis
930,"""We are far from done, but Let's celebrate the end of a war."""
931,"The greatest gift to the world would be for someone to trip over the power cord to the teleprompter while he was giving this BS speech prepared by his handlers.  The concentration of his eyes on that teleprompter are so intense.  Without it, he'd stammer and fumble and reveal his true cognitive void."
932,He's disgusting!
933,World's worst decision
934,Only the blind sheep follow your lies!
935,Now he is somehow trying to take credit that he did something right. It should never had happened. Unbeleivable!!!
936,"He sounds like a senile old man,that doesn't know what he is talking about."
937,"""🎶Come Mr. TOLLY BON, TOLLY me banana 🎶""

This guy is a joke. He's just reading a teleprompter and has no comprehension of what he's actually saying."
938,Where’s the puppetmaster?
939,Grateful prayer? You have no regard for human life! Go back to Scranton and tell stories about corn pop!  Fake story!
940,"In short, it is good, but it can be even worse... The USA is a very rich and generous country.  There is no other country in the world that has donated $ 85 billion of military equipment to its enemies."
941,"Biden said ""We will never forget!""? C'mon man! You have already forgotten!"
942,This fn guy
943,Is anyone actually believing what he is saying. I truly disagree with everything that's coming out of his mouth. I feel like Tyler Jernigan nothing seems real.
944,What the hell is this guy talking about!?
945,"Joe is respectfully asking questions to the American public. 

I have about 10 questions for him that he has yet to answer about this surrender.   But he will speak, turn around, walk away."
946,Impeach Joe Biden now vice president too
